Formula,Sites,Energy above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Bulk Modulus Voigt,Bulk Modulus Reuss,Bulk Modulus VRH,Shear Modulus Voigt,Shear Modulus Reuss,Shear Modulus VRH
Cs,1,0.019629529999999,0.019629529999999,False,123.94828114669768,1.780538568202299,0.0,,,,,,
Cs,20,0.013120229000001,0.013120229,False,2523.92028814078,1.748824604969198,0.0,,,,,,
Cs,29,0.012575198275861,0.012575198275859,False,3582.0095963617064,1.786747350643323,0.1362,,,,,,
Cs,8,0.0,0.0,True,983.1042254716456,1.795900693546087,0.0,,,,,,
Cs,1,0.017216879999999,0.017216879999999,False,122.45436336950183,1.80226076859457,0.0,,,,,,
Cs,2,0.07448497,0.07448497,False,250.3472162228278,1.7631088403846462,0.0,1.722999999999999,1.712,1.717,0.951,2.268,1.609
Cs,8,0.053976002068964,0.053976002068964,False,946.4998563445577,1.865354282430968,0.0,,,,,,
Cs,4,0.0198479075,0.0198479075,False,496.91339759614056,1.776524409377617,0.0,1.972,1.972,1.972,0.86,0.798,0.8290000000000001
Cs,8,0.027480051250002,0.027480051250002,False,990.2966648448792,1.7828572215066232,0.0,,,,,,
Cs,8,0.032965812500002,0.032965812500002,False,989.4272375195286,1.784423849881907,0.0,,,,,,
Cu,1,0.03556281,0.03556281,False,11.467885837555205,9.201400940058464,0.0,137.934,137.731,137.832,59.284,124.768,92.026
Cu,1,1.982934489999999,1.982934489999999,False,563.0816222753278,0.187398436304439,0.0,,,,,,
Cu,2,0.155768219999998,0.155768219999998,False,23.98790897966721,8.797816901473627,0.0,,,,,,
Cu,6,0.180320715,0.180320715,False,133.40886576231534,4.745739269569768,0.0,,,,,,
Cu,1,0.0,0.0,True,11.445998564977856,9.21899604714547,0.0,151.394,151.394,151.394,56.617,43.07,49.843
Cu,4,0.007716539999998,0.007716539999998,False,45.82571797258685,9.210602272661523,0.0,132.247,132.08,132.163,70.569,60.954,65.761
Cu,2,0.012339934999999,0.012339934999999,False,22.871270635686635,9.227350522582428,0.0,,,,,,
Cu,1,0.033066179999998,0.033066179999998,False,11.4580939159638,9.209264324422124,0.0,139.175,139.175,139.175,61.106,-22.363,19.372
Dy,3,0.011588688333336,0.011588688333337,False,94.85570019384063,8.534150223057072,0.0,41.073,41.004,41.039,28.002,26.704,27.353
Dy,4,0.021323329999997,0.021323329999997,False,126.01390761328368,8.565327539896245,0.0,41.225,41.225,41.225,27.704,24.413,26.058
Dy,1,0.127580304999998,0.127580304999998,False,32.018346616463226,8.427593140732464,0.0,,,,,,
Dy,4,0.002235662499998,0.002235662499998,False,127.0101345497866,8.498143845890551,0.0,,,,,,
Dy,2,0.0,0.0,True,64.00862348033375,8.431288899859123,0.0,40.433,40.06,40.246,26.596,26.489,26.543
Er,1,0.066858966666664,0.066858966666664,False,30.500206365178716,9.106171296517454,0.0,42.186,42.186,42.186,28.178,25.552,26.865
Er,1,0.139390026666667,0.139390026666667,False,30.95268409112724,8.973053933634953,0.0,41.942,41.942,41.942,9.885,-63.304,-26.71
Er,4,0.022770859166669,0.022770859166669,False,124.04228751792397,8.956303831475736,0.0,,,,,,
Er,3,0.0,0.0,True,92.665213604578,8.99172708732831,0.0,,,,,,
Er,2,0.012441721666668,0.012441721666668,False,61.41416550066411,9.044822199446672,0.0,44.76,44.76,44.76,31.058,30.981,31.02
Eu,2,0.015575354999995,0.015575354999995,False,82.91735380431568,6.086594594234831,0.0,,,,,,
Eu,6,0.088459761666662,0.088459761666664,False,265.1629337239829,5.709896670086036,0.0,,,,,,
Eu,4,0.012353204999996,0.012353204999996,False,175.40225406922127,5.754593293133332,0.0,,,,,,
Eu,1,0.041439605,0.041439605,False,45.186949409330765,5.584403506218891,0.0,,,,,,
Eu,2,0.0,0.0,True,88.12607338472408,5.726844485971249,0.0,,,,,,
Eu,1,0.031110114999997,0.031110114999997,False,43.402718618896046,5.813971261397927,0.0,,,,,,
F2,4,0.277234039999999,0.277234039999999,False,46.78184221289158,2.697421839272925,0.0,,,,,,
F2,4,0.309513847499999,0.309513847499999,False,52.427414140083904,2.406953784317844,0.4797,,,,,,
F2,4,0.0,0.0,True,53.322973487990666,2.366528995141169,2.8979,,,,,,
F2,8,0.779028336249999,0.779028336249999,False,79.0676540615344,3.191959199099701,0.0,396.655,396.655,396.655,-171.165,-117.174,-144.17
F2,4,0.002373407499999,0.002373407499999,False,53.43199913502352,2.361700196685299,2.8962,3.396,-8.426,-2.515,2.291,4.659,3.475
